mileage,price,model,year_raw,description,brand,year,engine_size,category
500.0,19994.0,R 18 TRANSCONTINENTAL,  2022 BMW Cruiser,STOCK# E74422    500 MILES FIRST EDITION WARRANTY TILL 10/24,BMW,2022,18.0,Cruiser
16479.0,20995.0,K 1600 B Grand America 1600 GRAND AMERICA,  2019 BMW Touring,"This   2019 BMW K1600B Grand America is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 16479 miles.  Our service department has inspected the bike and performed the 18K service which included an oil and oil filter change, Rear Drive Oil Change, Coolant Flush, Brake Fluid Flush and also new Spark Plugs.  This bike is ready to ride!  It is equipped with the Premium Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Floor Boards, ABS Pro, Power Adjusting Tinted Touring Windscreen, Anti Theft Alarm System, Center Stand, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Audio System w/Radio, Comfort Package, Reverse Assist, Tire Pressure Monitors, Auxiliary LED Running Lights, Engine Protection Bars, Top Case w/Speakers, Sargent Custom Heated Seat, Heated Grips, Safety Plus Package, Saddle Bag Speakers, Top Case Rack w/Flagpole, Black Freedom Performance Exhaust Pipes, Saddle Bag Protection Bars, Battery Tender Lead, Bar Risers, Navigation System, Upgraded Front Speakers and a Kenwood Amplifier.",BMW,2019,1600.0,Touring
123456.0,21000.0,R 60 /2,  1966 BMW Classic / Vintage,,BMW,1966,60.0,Unknown
7709.0,20000.0,K 1600 GRAND AMERICA,  2019 BMW Cruiser,,BMW,2019,1600.0,Cruiser
20311.0,19595.0,K 1600 B Grand America 1600 GRAND AMERICA,  2018 BMW Touring,"This   2018 BMW K1600B Grand America is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 20311 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready to ride.  This bike is equipped with the Premium Package, Bluetooth Interface,Dynamic Electronic Suspension Adjustment, Hill Start Control, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro, Audio System with Radio, ABS Pro, Tinted High Windscreen, Anti Theft Alarm, Engine Protection Bars, Floor Boards, Central Locking System, Reverse Assist, Tire Pressure Monitors, Auxiliary LED Running Lights, Center Stand, Power Adjusting Windscreen, Heated Grips , Heated Seat, Headlight Guard, Tinted Air Flow Wind Deflectors, Side Body Protection Bars, Saddle Bag Protection Bars, Dash Bag, Bar Risers, Back Rest and a Battery Tender Lead.",BMW,2018,1600.0,Touring
9354.0,19500.0,R 1250 GS,  2020 BMW Dual Sport,,BMW,2020,1250.0,Dual Sport
13400.0,25000.0,K 1600 GTL,  2019 BMW Sport Touring,,BMW,2019,1600.0,Sport Touring
13301.0,12499.0,R 1200 GS Adventure,  2012 BMW Standard,"Corbin Seat, Engine Guards, Skid Plate, PIAA Headlights, Oversized Windshield and Bags!",BMW,2012,1200.0,Standard
8048.0,23995.0,R 1250 RT,  2021 BMW Touring,"This   2021 BMW R1250RT is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 8048 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with changing the rear drive fluid and also completing a brake fluid flush.  This bike is ready to ride!  This bike has BMW warranty remaining until 9/04/2024 or 36000 miles and is equipped with the Premium Package, Dynamic Engine Brake Control, Keyless Ride, Gear Shift Assist Pro, Adaptive Headlight, Dynamic Electronic Suspension Adjustment, Headlight Pro, Ride Modes Pro, Central Locking System, ABS Pro, Heated Seat, Auxiliary LED Running Lights, Anti Theft Alarm System, Chrome Exhaust Pipe, Active Cruise Control, Power Adjusting Windscreen, Heated Grips, Tire Pressure Monitors, BMW Body Color Matched Top Case, Engine Protection Bars, Highway Pegs and a Battery Tender Lead.",BMW,2021,1250.0,Touring
2900.0,21900.0,R 1250 GS,  2022 BMW Dual Sport,Premium Package,BMW,2022,1250.0,Dual Sport
9200.0,19999.0,S 1000 XR,  2021 BMW Sport Touring,,BMW,2021,1000.0,Sport Touring
5420.0,15999.0,R 18 B FIRST EDITION,  2022 BMW Touring,"Only 5,420 miles on this very nice BMW!",BMW,2022,18.0,Touring
1837.0,15595.0,R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 1837 miles.  This bike has BMW Factory Warranty remaining until 11/17/2025 or 36000 miles whichever comes first and is equipped with the Premium Package, Locking Fuel Cap, Headlight Pro, Select Package, Adaptive Headlight and Hill Start Control.  The previous owner also added an impressive list of accessories which include Freedom Performance Pipes, Wunderlich Foot Pegs, Wunderlich Shifter Peg, Wunderlich Engine Guards, Tank Knee Pads, Wunderlich Oil Cooler Guard, Axle Sliders, Tank Bag, BMW Fastback Seat, BMW Roland Sands Machined Cylinder Head Strips, BMW Roland Sands Machined Front Engine Strip, BMW Roland Sands Machined Brake and Clutch Reservoir Covers, BMW Roland Sands Machined Foot Brake Reservoir Cover and a Battery Tender Lead.  This bike is an absolute head turner.",BMW,2021,18.0,Standard
6840.0,19995.0,K 1600 B,  2019 BMW Touring,"This   2019 BMW K1600B is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 6840 miles.  Our service department has inspected the bike and performed the 6K service which included an oil and oil filter change along with changing the rear drive fluid and also completing a brake fluid flush. The previous owner had new tires installed by Cycle Werks just prior to trade in so this bike is ready to ride.  This bike is equipped with the Select Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Touring Package, Audio System with Radio, Comfort Package, ABS Pro, Auxiliary LED Running Lights, Center Stand, Option 719 Forged Wheels, Floor Boards, Central Locking System, Reverse Assist, Tire Pressure Monitors, Power Adjusting Windscreen, Heated Seat, Heated Grips, Anti Theft Alarm System, Engine Protection Bars, Safety Plus Package, Battery Tender Lead and a Remus Exhaust System.",BMW,2019,1600.0,Touring
24805.0,18995.0,K 1600 GTL,  2018 BMW Touring,"This   2018 BMW K1600GTL is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 24805 miles.  Our service department has inspected the bike and performed the 24K service along with installing new tire so that this bike is ready to ride.  It is equipped with the Luxury Plus Package, Bluetooth Interface, Dynamic Electronic Suspension Adjustment, Hill Start Control, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro,Audio System with Radio, Central Locking System, Tire Pressure Monitors, Anti Theft Alarm System, Safety Package, Power Adjusting Windscreen, Heated Seat, Heated Grips, Reverse Assist, ABS Pro, Auxiliary LED Running Lights, BMW Navigation System and a Battery Tender Lead.",BMW,2018,1600.0,Touring
13743.0,16500.0,K 1600 GT,  2016 BMW Sport Touring,,BMW,2016,1600.0,Sport Touring
19500.0,29995.0,R 18 CLASSIC FIRST EDITION,  2021 BMW Classic / Vintage,,BMW,2021,18.0,Unknown
3.0,30978.0,S 1000 RR,New 2023 BMW Sportbike,"The RR is now even more foc  and more precisely geared towards pure performance. For those who increasingly demand more. More from themselves. More each lap. And more from their RR. Simply put: . Leading the way is a matter of millimeters, especially in the circles the RR has always been a part of. Thats why we have streamlined and evolved the RR where it matters most: from the new steering angle sensor with Brake Slide Assist and Slide Control as well as the integration of M components and improvements to the electronics and crucial processes for modifying the bike for the race track. And all this with a clear goal in mind  claiming the pole position over and over again.",BMW,2023,1000.0,Sportbike
300.0,19999.0,K 75 S,  1990 BMW Custom,,BMW,1990,75.0,Custom
81471.0,12995.0,R 1200 GS ADVENTURE,  2016 BMW Dual Sport,"This   one owner 2016 BMW R1200GS Adventure is for sale at Cycle Werks in Barrington in Barrington IL and is in very nice condition with 81481 miles.  This original owner of this bike has had this bike dealer serviced at either Mischlers or Cycle Werks and our service department has inspected the bike and performed an oil and oil filter change so it is ready to ride.  It is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, LED Style Element, On Board Computer, Ride Modes Pro, ABS Pro, Tire Pressure Monitors, Auxiliary LED Running Lights, Keyless Ride, Gear Shift Assist Pro, Touring Package, Chrome Exhaust Pipe, Heated Grips, Engine and Side Body Protection Bars, Cruise Control, BMW Aluminum Side Cases, BMW Navigation System, Battery Tender Lead and a Headlight Guard.  This bike also comes with a 30 day or 1000 mile powertrain warranty whichever comes first.",BMW,2016,1200.0,Dual Sport
