brand,model,year,mileage,engine_size,price
BMW,R 18 TRANSCONTINENTAL,2022,500.0,18.0,19994.0
BMW,R1250 RTP,2023,2.0,1250.0,29990.0
BMW,K 1600 GTL,2012,32639.0,1600.0,11795.0
BMW,R 1200 GS ADVENTURE,2015,52535.0,1200.0,13995.0
BMW,R 1200 GS ADVENTURE,2016,24116.0,1200.0,17295.0
BMW,R 1250 GS ADVENTURE,2019,7049.0,1250.0,19495.0
BMW,K 1600 B,2022,0.0,1600.0,26840.0
BMW,R 18 B,2022,262.0,18.0,18995.0
BMW,R 1250 GS Adventure Triple Black,2022,581.0,1250.0,21995.0
BMW,R 18 B,2022,0.0,18.0,25865.0
BMW,K 1600 B Grand America 1600 GRAND AMERICA,2023,0.0,1600.0,28820.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,26290.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,26540.0
BMW,K 1600 B,2023,0.0,1600.0,28820.0
BMW,K 1600 B,2023,0.0,1600.0,28820.0
BMW,K 1600 B,2023,0.0,1600.0,33200.0
BMW,R 1250 RT,2023,0.0,1250.0,29460.0
BMW,K 1600 B,2023,0.0,1600.0,26655.0
BMW,K 1600 GTL,2023,0.0,1600.0,29480.0
BMW,R 18 TRANSCONTINENTAL FIRST EDITION,2022,76.0,18.0,22990.0
BMW,R 1250 GS,2023,0.0,1250.0,23610.0
BMW,F 650 GS,2006,19227.0,650.0,4495.0
BMW,R 1200 RT San Marino Blue Metallic / Granite Grey Metal RTP,2016,11767.0,1200.0,11195.0
BMW,R 18 B Black Storm Metallic,2022,300.0,18.0,25435.0
BMW,R 18 B Manhattan Metallic Matt,2022,141.0,18.0,18445.0
BMW,CE 04,2022,0.0,4.0,15445.0
BMW,R 1250 GS Light White,2023,2.0,1250.0,22185.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,25425.0
BMW,R NINET,2023,0.0,973.6035958904109,21315.0
BMW,R 1250 GS,2023,0.0,1250.0,23165.0
BMW,R 1250 GS,2023,0.0,1250.0,24490.0
BMW,R 1250 GS,2023,0.0,1250.0,24490.0
BMW,R 1100 RT,1999,94710.0,1100.0,4900.0
BMW,K 1600 GT,2014,12002.0,1600.0,12495.0
BMW,R 18 CLASSIC,2021,2211.0,18.0,14495.0
BMW,K 1600 GTL,2022,0.0,1600.0,29640.0
BMW,S 1000 RR,2023,0.0,1000.0,28295.0
BMW,R 1250 RT,2023,0.0,1250.0,27265.0
BMW,R 1250 RT,2023,0.0,1250.0,27065.0
BMW,R nineT Scrambler,2019,5084.0,973.6035958904109,12499.0
BMW,R 18 TRANSCONTINENTAL,2023,7.0,18.0,29970.0
BMW,R 18 TRANSCONTINENTAL,2023,0.0,18.0,30470.0
BMW,F 900 R,2021,4985.0,900.0,7999.0
BMW,R 18 TRANSCONTINENTAL,2023,0.0,18.0,28080.0
BMW,K 1600 GTL Premium Black Storm Metallic,2016,23393.0,1600.0,11886.0
BMW,S1000R,2022,9.0,1000.0,18065.0
BMW,R 18 TRANSCONTINENTAL,2022,0.0,18.0,28585.0
BMW,S 1000 RR Light White/M Motorsport,2023,308.0,1000.0,29995.0
BMW,HP4 RACE,2018,258.0,973.6035958904109,58888.0
BMW,F 850 GS 850 GS ADVENTURE,2021,241.0,850.0,13999.0
BMW,R18 CLASSIC,2022,5.0,18.0,22195.0
BMW,R 1250 GS Rallye,2023,3.0,1250.0,23666.0
BMW,F 700 GS,2017,1756.0,700.0,9450.0
BMW,K 75 C,1986,18769.0,75.0,4499.0
BMW,K 1600 GTL EXCLUSIVE,2016,8914.0,1600.0,16995.0
BMW,S 1000 RR,2012,17974.0,1000.0,14999.0
BMW,R 1200 R,2009,45078.0,1200.0,6995.0
BMW,R 18 TRANSCONTINENTAL,2022,0.0,18.0,27815.0
BMW,K 1600 B,2023,0.0,1600.0,26655.0
BMW,K 1600 B,2023,0.0,1600.0,26655.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,26225.0
BMW,R nineT,2015,11768.0,973.6035958904109,8597.0
BMW,R 1250 GS,2020,5689.0,1250.0,19995.0
BMW,K 1600 GT,2023,0.0,1600.0,29775.0
BMW,K 1600 GTL,2012,79761.0,1600.0,7995.0
BMW,R 1250 GS,2023,0.0,1250.0,23425.0
BMW,R 1250 GS,2019,9498.0,1250.0,18995.0
BMW,K 1600 GTL,2012,35286.0,1600.0,11495.0
BMW,R 18 TRANSCONTINENTAL,2022,0.0,18.0,26560.0
BMW,R 18 TRANSCONTINENTAL,2022,0.0,18.0,28965.0
BMW,R 18 B,2022,0.0,18.0,28140.0
BMW,R 18 B,2022,0.0,18.0,27765.0
BMW,K 1600 GRAND AMERICA,2023,0.0,1600.0,28360.0
BMW,R nineT 719 Aluminum,2022,153.0,719.0,16644.0
BMW,K 1600 B,2023,0.0,1600.0,33025.0
BMW,S1000 R Sport Dynamic Pro,2018,7545.0,1000.0,12900.0
BMW,R 18 B Gravity Blue Metallic,2023,2.0,18.0,25495.0
BMW,R 18 B,2022,0.0,18.0,25215.0
BMW,K 1600 Grand America,2018,45760.0,1600.0,13493.0
BMW,S 1000 XR,2019,1116.0,1000.0,15995.0
BMW,K 1600 B,2019,8982.0,1600.0,19999.0
BMW,R18,2021,4.0,18.0,14950.0
BMW,R 18 Transcontinental First Edition,2022,75.0,18.0,21990.0
BMW,R 1250 GS Adventure Rally,2022,2.0,1250.0,24370.0
BMW,CE 04,2022,0.0,4.0,14570.0
BMW,R 18 CLASSIC,2022,0.0,18.0,20690.0
BMW,R 18 B,2022,0.0,18.0,23815.0
BMW,R 18 B,2022,0.0,18.0,27515.0
BMW,R 18 B,2022,0.0,18.0,27515.0
BMW,R 18 B,2022,0.0,18.0,27365.0
BMW,K 1600 GRAND AMERICA OPTION 719 MIDNIGHT,2023,5.0,1600.0,30950.0
BMW,R 1250 GS Triple Black,2023,2.0,1250.0,22860.0
BMW,R 1250 GS Triple Black,2023,2.0,1250.0,22860.0
BMW,R nineT,2015,2085.0,973.6035958904109,10900.0
BMW,R 1250 RT Sport,2023,2.0,1250.0,27265.0
BMW,R 1200 RT,2013,24647.0,1200.0,9999.0
BMW,R1200CL W/ABS,2004,48650.0,1200.0,3995.0
BMW,R1250R 1250 R,2023,4.0,1250.0,18485.0
BMW,R 1250 GS Adventure Ice Gray,2023,0.0,1250.0,25000.0
BMW,S 1000 XR,2023,0.0,1000.0,21075.0
BMW,R 1250 GS,2023,0.0,1250.0,21935.0
BMW,R 1250 RS,2023,0.0,1250.0,19765.0
BMW,R nineT,2023,2.0,973.6035958904109,18740.0
BMW,R 1250 RS,2023,0.0,1250.0,19645.0
BMW,R 1250 RS,2023,0.0,1250.0,19645.0
BMW,R 1250 RS,2023,0.0,1250.0,19535.0
BMW,R 1250 RS,2023,0.0,1250.0,19535.0
BMW,R 1250 RS,2023,0.0,1250.0,20160.0
BMW,R 1250 RS,2023,0.0,1250.0,20010.0
BMW,R 1250 RS,2023,0.0,1250.0,20160.0
BMW,R 1250 GS,2023,0.0,1250.0,21685.0
BMW,F 850 GS ADVENTURE,2023,0.0,850.0,17620.0
BMW,K 1300 GT,2009,51015.0,1300.0,7500.0
BMW,R 1250 GS Triple Black,2023,2.0,1250.0,22860.0
BMW,S 1000 XR,2023,0.0,1000.0,21325.0
BMW,F 850 GS 850 GS ADVENTURE,2023,0.0,850.0,16275.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,25580.0
BMW,R 1250 GS,2023,0.0,1250.0,23045.0
BMW,S 1000 XR,2023,0.0,1000.0,23200.0
BMW,S 1000 XR,2023,0.0,1000.0,23450.0
BMW,F 850 GS 850 GS ADVENTURE,2023,0.0,850.0,16425.0
BMW,K 1600 GTL,2023,5.0,1600.0,30275.0
BMW,R 18 B,2023,0.0,18.0,25790.0
BMW,R 1200 GS,2012,49842.0,1200.0,9000.0
BMW,K 1300 S HP Package,2012,12900.0,1300.0,13290.0
BMW,K1600GTL W/ABS 1600 GTL,2018,70008.0,1600.0,12885.0
BMW,K1600GTL W/ABS 1600 GTL,2018,22131.0,1600.0,18999.0
BMW,R 1250 RS,2021,4285.0,1250.0,17995.0
BMW,R nineT,2021,1288.0,973.6035958904109,12995.0
BMW,R 18 Transcontinental First Edition,2022,75.0,18.0,21990.0
BMW,K 1600 GTL Gravity Blue Metallic,2022,0.0,1600.0,30435.0
BMW,R 1250 GS Adventure Rally,2023,0.0,1250.0,26475.0
BMW,R 1250 GS,2023,0.0,1250.0,22850.0
BMW,M 1000 R Blackstorm Metallic/M Motorsport,2023,8.0,1000.0,26340.0
BMW,R 1250 RS Light White,2023,2.0,1250.0,19645.0
BMW,F 850 GS 850 GS ADVENTURE,2023,0.0,850.0,16030.0
BMW,S 1000 XR,2023,0.0,1000.0,20625.0
BMW,S 1000 RR,2023,0.0,1000.0,23675.0
BMW,R 1250 GS,2023,0.0,1250.0,23025.0
BMW,K 1600 GT Special Cosmic Blue / Black Storm Metallic,2016,26726.0,1600.0,13490.0
BMW,S 1000 XR,2016,25529.0,1000.0,11699.0
BMW,K 1600 B Black Storm Metallic,2018,8640.0,1600.0,19499.0
BMW,R 18 B,2023,7.0,18.0,25985.0
BMW,R nineT Black Storm Metallic,2022,853.0,973.6035958904109,16490.0
BMW,S 1000 XR,2022,0.0,1000.0,23615.0
BMW,R 18 B First Edition,2022,102.0,18.0,26720.0
BMW,R 18 B,2022,0.0,18.0,25365.0
BMW,R 18 B,2022,0.0,18.0,25740.0
BMW,R 18 B,2022,0.0,18.0,25365.0
BMW,R 18 B,2022,0.0,18.0,25365.0
BMW,M 1000 R Blackstorm Metallic/M Motorsport,2023,8.0,1000.0,26340.0
BMW,G 310 GS,2022,1229.0,310.0,6295.0
BMW,K 1600 GTL,2018,3126.0,1600.0,17995.0
BMW,R nineT 719 Night Black Matte/Aluminum Matte BASE,2023,11.0,719.0,19215.0
BMW,R 1200 GS Adventure Premium,2017,480.0,1200.0,20150.0
BMW,R 1000,2020,2000.0,1000.0,22800.0
BMW,F900R 900 R,2020,5600.0,900.0,8500.0
BMW,F 850 GSA 850 GS ADVENTURE,2021,3624.0,850.0,14500.0
BMW,S 1000 RR,2021,3600.0,1000.0,23000.0
BMW,R NINET URBAN G/S - EDITION 40 YEARS GS,2021,300.0,40.0,15123.0
BMW,R1250R 1250 R,2022,10.0,1250.0,20055.0
BMW,S 1000,2022,558.0,1000.0,19999.0
BMW,R 18 Transcontinental (DEMO),2022,243.0,18.0,21999.0
BMW,R 18 Transcontinental,2023,3.0,18.0,29290.0
BMW,S 1000 RR,2023,3.0,1000.0,23700.0
BMW,R1250GS 1250 GS,2023,11.0,1250.0,21935.0
BMW,K 100 RT,1985,22000.0,100.0,2700.0
