brand,model,year,mileage,engine_size,price
BMW,R 18 TRANSCONTINENTAL,2022,500.0,18.0,19994.0
BMW,K 1600 GT,2023,0.0,1600.0,29775.0
BMW,R 1250 GS,2020,5689.0,1250.0,19995.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,26225.0
BMW,K 1600 B,2023,0.0,1600.0,26655.0
BMW,K 1600 B,2023,0.0,1600.0,26655.0
BMW,R 1250 RT,2023,0.0,1250.0,27065.0
BMW,R 1250 RT,2023,0.0,1250.0,27265.0
BMW,S 1000 RR,2023,0.0,1000.0,28295.0
BMW,K 1600 B,2023,0.0,1600.0,26655.0
BMW,K 1600 B,2023,0.0,1600.0,33200.0
BMW,K 1600 B,2023,0.0,1600.0,28820.0
BMW,K 1600 B,2023,0.0,1600.0,28820.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,26540.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,26290.0
BMW,K 1600 B Grand America 1600 GRAND AMERICA,2023,0.0,1600.0,28820.0
BMW,R 18 B,2022,0.0,18.0,25865.0
BMW,R 1250 GS Adventure Triple Black,2022,581.0,1250.0,21995.0
BMW,R 1100 RT,1999,94710.0,1100.0,4900.0
BMW,K 1600 GT,2014,12002.0,1600.0,12495.0
BMW,R 18 CLASSIC,2021,2211.0,18.0,14495.0
BMW,R 18 TRANSCONTINENTAL FIRST EDITION,2022,76.0,18.0,22990.0
BMW,K 1600 GTL,2022,0.0,1600.0,29640.0
BMW,K 1600 GTL,2023,0.0,1600.0,29480.0
BMW,K 1600 GTL,2012,79761.0,1600.0,7995.0
BMW,R 1250 RT,2023,0.0,1250.0,29460.0
BMW,K 1600 GTL,2012,32639.0,1600.0,11795.0
BMW,R 1200 GS ADVENTURE,2015,52535.0,1200.0,13995.0
BMW,R 1200 GS ADVENTURE,2016,24116.0,1200.0,17295.0
BMW,R 1250 GS ADVENTURE,2019,7049.0,1250.0,19495.0
BMW,K 1600 B,2022,0.0,1600.0,26840.0
BMW,R 18 B,2022,262.0,18.0,18995.0
BMW,R1250 RTP,2023,2.0,1250.0,29990.0
BMW,R 1250 GS,2023,0.0,1250.0,24490.0
BMW,R 1250 GS,2019,9498.0,1250.0,18995.0
BMW,K 1600 GTL,2012,35286.0,1600.0,11495.0
BMW,R 1250 GS Adventure Rally,2022,5571.0,1250.0,23860.0
BMW,K 1600 B Premium,2018,9003.0,1600.0,17966.0
BMW,R 18 First Edition,2021,892.0,18.0,13777.0
BMW,R 18 First Edition,2021,673.0,18.0,13777.0
BMW,R 1200 GS Adventure Premium,2017,480.0,1200.0,20150.0
BMW,R nineT 719 Night Black Matte/Aluminum Matte BASE,2023,11.0,719.0,19215.0
BMW,K 1600 GTL,2018,3126.0,1600.0,17995.0
BMW,S1000 R Sport Dynamic Pro,2018,7545.0,1000.0,12900.0
BMW,K 75 C,1986,18769.0,75.0,4499.0
BMW,F 700 GS,2017,1756.0,700.0,9450.0
BMW,R 1250 GS Rallye,2023,3.0,1250.0,23666.0
BMW,R18 CLASSIC,2022,5.0,18.0,22195.0
BMW,F 850 GS 850 GS ADVENTURE,2021,241.0,850.0,13999.0
BMW,S 1000 RR Light White/M Motorsport,2023,308.0,1000.0,29995.0
BMW,R 18 TRANSCONTINENTAL,2022,0.0,18.0,28585.0
BMW,S1000R,2022,9.0,1000.0,18065.0
